transaction_id,transaction_date,state,district,user_id,gender,age_group,bank_name,account_type,transaction_type,payment_method,upi_app,amount,merchant_category,is_government_payment,scheme_name,failure_status,device_type,internet_type
T0037,2025-03-28,Tamil Nadu,Patna,U1036,Male,25-34,HDFC,Savings,P2M,UPI,BHIM,1217,Shopping,Yes,NULL,Failed,Mobile,3G
T0038,2025-03-30,Bihar,Kolkata,U1037,Female,35-44,SBI,Savings,P2P,UPI,Paytm,1070,Bills,Yes,PMJDY,Success,Mobile,5G
T0039,2025-02-10,Maharashtra,Mumbai,U1038,Male,25-34,Axis,Current,P2M,UPI,GPay,6376,Electronics,Yes,PMJDY,Failed,Desktop,5G
T0040,2025-03-28,Rajasthan,Mumbai,U1039,Male,45+,PNB,JanDhan,P2M,UPI,BHIM,1413,Transfer,No,NULL,Failed,Desktop,4G
T0041,2025-03-30,Delhi,Kolkata,U1040,Male,45+,PNB,JanDhan,P2M,UPI,GPay,9100,Food,No,Subsidy,Failed,Mobile,4G
T0042,2025-03-26,West Bengal,Mumbai,U1041,Male,18-24,Axis,Current,BillPay,UPI,Paytm,2786,Shopping,No,NULL,Failed,Mobile,3G
T0043,2025-01-19,West Bengal,Delhi,U1042,Male,35-44,PNB,Current,BillPay,UPI,GPay,6488,Food,No,NULL,Success,Mobile,4G
T0044,2025-03-03,West Bengal,Mumbai,U1043,Male,18-24,Axis,Current,P2M,UPI,BHIM,123,Shopping,No,NULL,Success,Desktop,Broadband
T0045,2025-03-14,Karnataka,Jaipur,U1044,Female,18-24,Axis,Current,BillPay,UPI,Paytm,9603,Transfer,No,PMJDY,Success,Desktop,Broadband
T0046,2025-01-02,Delhi,Kolkata,U1045,Male,18-24,Axis,Savings,P2M,UPI,PhonePe,6057,Shopping,Yes,Subsidy,Failed,Desktop,5G
T0047,2025-03-17,Bihar,Chennai,U1046,Male,35-44,SBI,Current,BillPay,UPI,PhonePe,9039,Food,Yes,NULL,Success,Mobile,Broadband
T0048,2025-01-11,Gujarat,Kolkata,U1047,Female,18-24,PNB,JanDhan,P2P,UPI,GPay,2480,Food,Yes,PMJDY,Failed,Mobile,3G
T0049,2025-03-03,Rajasthan,Bangalore,U1048,Female,45+,SBI,Savings,BillPay,UPI,BHIM,3275,Electronics,No,NULL,Failed,Desktop,Broadband
T0050,2025-02-05,Maharashtra,Jaipur,U1049,Male,35-44,Axis,Savings,P2M,UPI,Paytm,993,Electronics,No,PMJDY,Failed,Desktop,4G
T0051,2025-03-11,West Bengal,Ahmedabad,U1050,Male,25-34,SBI,Current,BillPay,UPI,PhonePe,9403,Bills,Yes,NULL,Failed,Mobile,3G
T0052,2025-01-26,Gujarat,Ahmedabad,U1051,Male,45+,HDFC,Savings,BillPay,UPI,Paytm,3622,Food,Yes,Subsidy,Success,Mobile,4G
T0053,2025-02-24,Gujarat,Kolkata,U1052,Female,18-24,Axis,Current,BillPay,UPI,GPay,2337,Electronics,Yes,Subsidy,Failed,Mobile,Broadband
T0054,2025-01-17,Rajasthan,Jaipur,U1053,Male,45+,HDFC,Current,P2M,UPI,PhonePe,2720,Electronics,Yes,Subsidy,Success,Mobile,5G
T0055,2025-03-09,Bihar,Bangalore,U1054,Male,45+,SBI,Savings,BillPay,UPI,BHIM,4679,Electronics,Yes,Subsidy,Success,Desktop,4G
T0056,2025-02-23,Karnataka,Bangalore,U1055,Male,35-44,SBI,JanDhan,P2M,UPI,PhonePe,6892,Bills,No,Subsidy,Failed,Desktop,Broadband
T0057,2025-02-24,Maharashtra,Kolkata,U1056,Female,35-44,HDFC,Current,BillPay,UPI,PhonePe,7505,Bills,Yes,Subsidy,Success,Desktop,Broadband
T0058,2025-01-28,West Bengal,Chennai,U1057,Male,25-34,SBI,JanDhan,P2P,UPI,Paytm,1484,Food,No,PMJDY,Failed,Mobile,Broadband
T0059,2025-03-13,West Bengal,Bangalore,U1058,Male,45+,SBI,JanDhan,BillPay,UPI,PhonePe,4773,Bills,Yes,NULL,Success,Mobile,5G
T0060,2025-03-03,Bihar,Delhi,U1059,Male,18-24,Axis,Savings,P2M,UPI,BHIM,2863,Electronics,Yes,Subsidy,Success,Desktop,4G
T0061,2025-02-10,Rajasthan,Jaipur,U1060,Female,25-34,SBI,Current,P2M,UPI,PhonePe,3323,Transfer,No,NULL,Failed,Mobile,4G
T0062,2025-01-09,Maharashtra,Kolkata,U1061,Male,25-34,ICICI,JanDhan,BillPay,UPI,PhonePe,8068,Electronics,Yes,NULL,Success,Mobile,3G
T0063,2025-01-27,Delhi,Chennai,U1062,Female,45+,Axis,JanDhan,P2M,UPI,Paytm,6853,Food,No,PMJDY,Success,Mobile,Broadband
T0064,2025-01-09,Karnataka,Patna,U1063,Female,25-34,SBI,Current,BillPay,UPI,PhonePe,9118,Electronics,Yes,Subsidy,Failed,Desktop,3G
T0065,2025-01-26,Maharashtra,Bangalore,U1064,Female,25-34,SBI,JanDhan,BillPay,UPI,GPay,9395,Bills,Yes,Subsidy,Success,Desktop,5G
T0066,2025-03-16,Maharashtra,Bangalore,U1065,Female,25-34,SBI,JanDhan,P2P,UPI,Paytm,2641,Transfer,Yes,NULL,Success,Desktop,3G
T0067,2025-01-12,West Bengal,Kolkata,U1066,Male,45+,HDFC,Current,P2P,UPI,Paytm,9700,Shopping,Yes,PMJDY,Success,Mobile,3G
T0068,2025-03-03,Tamil Nadu,Bangalore,U1067,Male,18-24,HDFC,Savings,P2M,UPI,BHIM,6241,Electronics,Yes,Subsidy,Failed,Mobile,Broadband
T0069,2025-03-31,Maharashtra,Patna,U1068,Female,35-44,Axis,Current,P2M,UPI,PhonePe,4427,Bills,No,NULL,Success,Desktop,4G
T0070,2025-03-05,Gujarat,Kolkata,U1069,Female,25-34,HDFC,JanDhan,BillPay,UPI,PhonePe,1359,Shopping,No,Subsidy,Success,Desktop,5G
T0071,2025-03-28,Maharashtra,Patna,U1070,Male,18-24,SBI,Current,P2P,UPI,Paytm,9705,Shopping,No,PMJDY,Success,Desktop,3G
T0072,2025-01-11,Tamil Nadu,Mumbai,U1071,Male,45+,SBI,Savings,BillPay,UPI,PhonePe,3991,Shopping,Yes,PMJDY,Failed,Desktop,4G
T0073,2025-03-22,Gujarat,Ahmedabad,U1072,Male,35-44,ICICI,JanDhan,P2M,UPI,PhonePe,5076,Shopping,No,NULL,Success,Desktop,4G
T0074,2025-01-04,West Bengal,Mumbai,U1073,Female,25-34,PNB,Savings,P2P,UPI,Paytm,8605,Food,No,PMJDY,Success,Mobile,5G
T0075,2025-01-30,Karnataka,Bangalore,U1074,Female,18-24,Axis,Current,BillPay,UPI,PhonePe,5093,Bills,Yes,PMJDY,Success,Mobile,3G
T0076,2025-03-21,Gujarat,Kolkata,U1075,Male,45+,ICICI,JanDhan,P2M,UPI,Paytm,4892,Transfer,Yes,Subsidy,Failed,Mobile,5G
T0077,2025-03-23,West Bengal,Kolkata,U1076,Male,35-44,HDFC,JanDhan,BillPay,UPI,GPay,828,Food,No,Subsidy,Success,Desktop,4G
T0078,2025-03-02,Gujarat,Chennai,U1077,Male,45+,SBI,Savings,P2P,UPI,Paytm,9599,Food,Yes,PMJDY,Success,Desktop,5G
T0079,2025-01-10,Maharashtra,Ahmedabad,U1078,Male,35-44,PNB,Savings,P2M,UPI,BHIM,501,Food,No,Subsidy,Failed,Mobile,3G
T0080,2025-03-22,Maharashtra,Ahmedabad,U1079,Female,18-24,ICICI,Current,P2P,UPI,Paytm,3355,Bills,Yes,NULL,Failed,Desktop,3G
T0081,2025-02-03,Rajasthan,Kolkata,U1080,Male,25-34,ICICI,JanDhan,BillPay,UPI,PhonePe,7854,Food,Yes,Subsidy,Failed,Mobile,4G
T0082,2025-02-18,Gujarat,Kolkata,U1081,Male,25-34,ICICI,Savings,BillPay,UPI,GPay,5705,Food,No,PMJDY,Failed,Mobile,3G
T0083,2025-01-31,Bihar,Chennai,U1082,Male,35-44,ICICI,JanDhan,P2P,UPI,PhonePe,8456,Transfer,No,NULL,Success,Mobile,5G
T0084,2025-01-23,West Bengal,Kolkata,U1083,Male,45+,ICICI,Current,P2M,UPI,PhonePe,677,Shopping,Yes,PMJDY,Failed,Desktop,4G
T0085,2025-02-19,Maharashtra,Ahmedabad,U1084,Female,25-34,HDFC,Savings,P2P,UPI,Paytm,3670,Food,No,Subsidy,Failed,Mobile,4G
T0086,2025-02-22,West Bengal,Jaipur,U1085,Female,35-44,SBI,Current,P2P,UPI,BHIM,7515,Electronics,No,NULL,Failed,Desktop,4G
T0087,2025-02-02,Delhi,Patna,U1086,Male,25-34,Axis,Current,P2M,UPI,Paytm,6465,Shopping,No,Subsidy,Failed,Mobile,Broadband
T0088,2025-02-10,Maharashtra,Kolkata,U1087,Female,18-24,PNB,Savings,P2P,UPI,BHIM,3922,Shopping,Yes,NULL,Failed,Desktop,Broadband
T0089,2025-02-05,Rajasthan,Jaipur,U1088,Female,25-34,PNB,Savings,P2P,UPI,BHIM,2090,Electronics,No,NULL,Success,Mobile,Broadband
T0090,2025-03-10,West Bengal,Delhi,U1089,Female,18-24,PNB,JanDhan,BillPay,UPI,Paytm,8150,Food,Yes,NULL,Success,Mobile,5G
T0091,2025-02-28,Rajasthan,Delhi,U1090,Male,25-34,SBI,Savings,BillPay,UPI,Paytm,5197,Bills,Yes,PMJDY,Success,Mobile,3G
T0092,2025-03-26,Tamil Nadu,Bangalore,U1091,Male,35-44,PNB,Current,P2P,UPI,GPay,4266,Bills,No,NULL,Success,Desktop,3G
T0093,2025-03-21,Delhi,Chennai,U1092,Female,45+,SBI,Savings,BillPay,UPI,PhonePe,3925,Bills,Yes,NULL,Success,Mobile,5G
T0094,2025-01-16,Karnataka,Mumbai,U1093,Male,25-34,HDFC,JanDhan,BillPay,UPI,BHIM,6560,Electronics,Yes,NULL,Failed,Mobile,Broadband
T0095,2025-02-03,Delhi,Patna,U1094,Male,18-24,SBI,Current,BillPay,UPI,Paytm,1109,Transfer,Yes,Subsidy,Success,Mobile,Broadband
T0096,2025-01-29,West Bengal,Bangalore,U1095,Male,18-24,Axis,JanDhan,P2P,UPI,PhonePe,877,Shopping,Yes,Subsidy,Success,Mobile,5G
T0097,2025-02-16,West Bengal,Patna,U1096,Male,25-34,Axis,JanDhan,P2P,UPI,PhonePe,5526,Transfer,No,Subsidy,Failed,Desktop,3G
T0098,2025-03-29,Tamil Nadu,Mumbai,U1097,Female,25-34,SBI,JanDhan,P2M,UPI,GPay,3197,Transfer,No,NULL,Failed,Mobile,3G
T0099,2025-01-30,Maharashtra,Delhi,U1098,Female,35-44,ICICI,JanDhan,BillPay,UPI,PhonePe,9741,Food,No,NULL,Failed,Mobile,5G
T0100,2025-03-29,Bihar,Delhi,U1099,Female,18-24,ICICI,Current,P2M,UPI,PhonePe,2248,Bills,No,Subsidy,Failed,Desktop,3G
T0101,2025-01-29,Rajasthan,Delhi,U1100,Female,25-34,Axis,JanDhan,P2P,UPI,GPay,4291,Bills,No,Subsidy,Success,Desktop,5G
T0102,2025-02-02,Tamil Nadu,Bangalore,U1101,Male,18-24,PNB,Savings,BillPay,UPI,BHIM,9134,Electronics,No,PMJDY,Success,Desktop,5G
T0103,2025-01-08,Tamil Nadu,Bangalore,U1102,Female,45+,PNB,Current,P2P,UPI,Paytm,3740,Bills,Yes,NULL,Success,Mobile,5G
T0104,2025-01-20,Gujarat,Chennai,U1103,Female,18-24,ICICI,JanDhan,BillPay,UPI,PhonePe,7095,Electronics,No,Subsidy,Success,Desktop,4G
T0105,2025-04-01,Bihar,Bangalore,U1104,Male,45+,HDFC,Savings,BillPay,UPI,PhonePe,3156,Food,No,Subsidy,Failed,Desktop,Broadband
T0106,2025-02-04,Tamil Nadu,Kolkata,U1105,Female,18-24,Axis,Current,P2M,UPI,Paytm,9695,Shopping,Yes,NULL,Success,Mobile,5G
T0107,2025-03-06,Gujarat,Patna,U1106,Male,25-34,PNB,JanDhan,BillPay,UPI,GPay,302,Transfer,Yes,NULL,Success,Desktop,3G
T0108,2025-03-15,Maharashtra,Mumbai,U1107,Male,18-24,ICICI,Savings,P2M,UPI,PhonePe,9483,Food,Yes,Subsidy,Success,Desktop,Broadband
T0109,2025-03-16,Rajasthan,Delhi,U1108,Male,18-24,ICICI,Current,P2P,UPI,BHIM,8932,Food,No,NULL,Failed,Desktop,4G
T0110,2025-02-12,Gujarat,Ahmedabad,U1109,Female,35-44,SBI,Savings,P2M,UPI,BHIM,5833,Food,No,PMJDY,Failed,Mobile,5G
T0111,2025-03-16,Tamil Nadu,Kolkata,U1110,Female,35-44,SBI,Current,P2P,UPI,GPay,5858,Bills,Yes,NULL,Success,Mobile,5G
T0112,2025-03-15,West Bengal,Mumbai,U1111,Male,45+,Axis,Savings,BillPay,UPI,BHIM,8780,Bills,No,NULL,Failed,Mobile,Broadband
T0113,2025-03-05,Delhi,Bangalore,U1112,Female,35-44,HDFC,Current,P2M,UPI,GPay,3988,Food,Yes,NULL,Success,Mobile,5G
T0114,2025-02-13,Karnataka,Ahmedabad,U1113,Male,18-24,ICICI,JanDhan,BillPay,UPI,PhonePe,3432,Electronics,Yes,PMJDY,Success,Mobile,5G
T0115,2025-02-12,Tamil Nadu,Patna,U1114,Female,45+,SBI,Current,BillPay,UPI,BHIM,6047,Bills,Yes,Subsidy,Success,Mobile,Broadband
T0116,2025-02-09,Rajasthan,Mumbai,U1115,Female,18-24,Axis,Savings,BillPay,UPI,PhonePe,8825,Bills,No,Subsidy,Failed,Desktop,5G
T0117,2025-01-25,West Bengal,Chennai,U1116,Male,35-44,SBI,Savings,P2P,UPI,Paytm,1914,Shopping,No,PMJDY,Success,Mobile,Broadband
T0118,2025-02-28,Rajasthan,Bangalore,U1117,Female,25-34,Axis,JanDhan,P2P,UPI,Paytm,65,Food,Yes,PMJDY,Failed,Desktop,5G
T0119,2025-01-31,Karnataka,Chennai,U1118,Female,35-44,ICICI,JanDhan,P2M,UPI,Paytm,6071,Electronics,No,NULL,Failed,Desktop,3G
T0120,2025-01-22,Gujarat,Mumbai,U1119,Female,25-34,ICICI,Savings,P2M,UPI,BHIM,556,Food,No,NULL,Failed,Mobile,Broadband
T0121,2025-03-15,Maharashtra,Delhi,U1120,Female,18-24,HDFC,Savings,BillPay,UPI,BHIM,6285,Food,Yes,NULL,Success,Desktop,4G
T0122,2025-03-23,Delhi,Jaipur,U1121,Male,35-44,Axis,Current,P2P,UPI,PhonePe,7868,Food,Yes,PMJDY,Success,Desktop,5G
T0123,2025-02-27,Gujarat,Mumbai,U1122,Female,45+,ICICI,JanDhan,P2M,UPI,GPay,7431,Transfer,No,PMJDY,Failed,Mobile,3G
T0124,2025-02-20,Maharashtra,Patna,U1123,Male,25-34,ICICI,JanDhan,BillPay,UPI,PhonePe,3291,Bills,Yes,Subsidy,Success,Mobile,5G
T0125,2025-02-22,Karnataka,Patna,U1124,Female,18-24,PNB,JanDhan,P2P,UPI,PhonePe,4724,Shopping,No,NULL,Failed,Desktop,5G
T0126,2025-01-24,Maharashtra,Patna,U1125,Male,35-44,ICICI,Savings,BillPay,UPI,BHIM,1958,Electronics,No,NULL,Success,Mobile,5G
T0127,2025-03-18,West Bengal,Patna,U1126,Female,35-44,PNB,Current,BillPay,UPI,GPay,8796,Transfer,No,PMJDY,Failed,Mobile,5G
T0128,2025-02-06,Tamil Nadu,Patna,U1127,Female,45+,HDFC,Savings,P2P,UPI,Paytm,5926,Shopping,No,Subsidy,Failed,Mobile,4G
T0129,2025-02-22,Maharashtra,Chennai,U1128,Female,45+,PNB,Savings,P2P,UPI,Paytm,5824,Transfer,No,NULL,Failed,Mobile,5G
T0130,2025-01-03,West Bengal,Bangalore,U1129,Male,18-24,Axis,JanDhan,P2M,UPI,PhonePe,302,Shopping,Yes,Subsidy,Failed,Desktop,4G
T0131,2025-03-28,Delhi,Patna,U1130,Male,35-44,HDFC,JanDhan,BillPay,UPI,PhonePe,7194,Bills,Yes,NULL,Success,Mobile,Broadband
T0132,2025-03-28,Bihar,Kolkata,U1131,Male,25-34,ICICI,JanDhan,P2P,UPI,Paytm,5530,Electronics,No,PMJDY,Success,Mobile,5G
T0133,2025-01-05,Tamil Nadu,Jaipur,U1132,Male,45+,HDFC,Savings,P2P,UPI,GPay,7985,Bills,Yes,NULL,Failed,Desktop,3G
T0134,2025-01-04,Delhi,Mumbai,U1133,Female,45+,SBI,Current,P2M,UPI,GPay,4194,Shopping,Yes,Subsidy,Success,Mobile,3G
T0135,2025-01-13,Rajasthan,Jaipur,U1134,Male,25-34,Axis,Current,BillPay,UPI,BHIM,2523,Shopping,No,NULL,Failed,Mobile,Broadband
T0136,2025-03-17,Tamil Nadu,Chennai,U1135,Female,35-44,SBI,Current,P2M,UPI,BHIM,2573,Food,Yes,NULL,Success,Desktop,4G
T0137,2025-01-24,Delhi,Patna,U1136,Female,18-24,Axis,Current,P2P,UPI,BHIM,6017,Bills,No,NULL,Failed,Desktop,5G
T0138,2025-02-11,West Bengal,Kolkata,U1137,Female,25-34,HDFC,Savings,BillPay,UPI,PhonePe,7155,Electronics,Yes,Subsidy,Success,Desktop,5G
T0139,2025-02-17,West Bengal,Delhi,U1138,Male,45+,ICICI,Savings,BillPay,UPI,PhonePe,948,Transfer,No,Subsidy,Success,Desktop,4G
T0140,2025-03-01,Rajasthan,Delhi,U1139,Male,35-44,PNB,JanDhan,P2M,UPI,Paytm,7912,Bills,No,NULL,Failed,Mobile,4G
T0141,2025-03-17,Delhi,Mumbai,U1140,Male,18-24,PNB,Current,P2M,UPI,Paytm,7702,Food,No,NULL,Failed,Desktop,5G
T0142,2025-03-12,West Bengal,Delhi,U1141,Male,18-24,Axis,Current,P2M,UPI,BHIM,7963,Transfer,No,Subsidy,Failed,Desktop,5G
T0143,2025-03-22,Bihar,Kolkata,U1142,Male,35-44,Axis,Current,BillPay,UPI,BHIM,6210,Shopping,Yes,Subsidy,Success,Mobile,4G
T0144,2025-02-04,Maharashtra,Ahmedabad,U1143,Male,35-44,SBI,Current,P2P,UPI,BHIM,579,Electronics,Yes,Subsidy,Failed,Mobile,Broadband
T0145,2025-03-25,Bihar,Chennai,U1144,Female,45+,HDFC,Savings,BillPay,UPI,BHIM,7875,Shopping,Yes,Subsidy,Failed,Desktop,3G
T0146,2025-01-25,Tamil Nadu,Mumbai,U1145,Male,18-24,Axis,Savings,P2P,UPI,BHIM,9197,Food,No,Subsidy,Success,Mobile,3G
T0147,2025-01-22,West Bengal,Ahmedabad,U1146,Male,45+,HDFC,Savings,BillPay,UPI,GPay,517,Transfer,No,Subsidy,Failed,Mobile,Broadband
T0148,2025-01-01,Karnataka,Mumbai,U1147,Male,18-24,PNB,Savings,P2P,UPI,GPay,1274,Transfer,Yes,Subsidy,Success,Mobile,4G
T0149,2025-03-01,Delhi,Jaipur,U1148,Male,18-24,HDFC,JanDhan,BillPay,UPI,GPay,3160,Shopping,No,NULL,Failed,Mobile,Broadband
T0150,2025-03-14,Bihar,Ahmedabad,U1149,Male,25-34,HDFC,JanDhan,P2M,UPI,Paytm,9618,Electronics,No,NULL,Success,Desktop,5G
T0151,2025-01-02,Delhi,Chennai,U1150,Male,18-24,Axis,JanDhan,P2P,UPI,GPay,5723,Food,No,PMJDY,Failed,Desktop,4G
T0152,2025-02-12,Delhi,Mumbai,U1151,Male,18-24,HDFC,Current,P2P,UPI,GPay,1649,Food,Yes,NULL,Failed,Desktop,4G
T0153,2025-03-01,West Bengal,Kolkata,U1152,Female,25-34,PNB,Savings,P2P,UPI,BHIM,8729,Shopping,No,Subsidy,Failed,Mobile,5G
T0154,2025-02-16,Maharashtra,Delhi,U1153,Male,45+,ICICI,Savings,P2P,UPI,BHIM,6620,Bills,Yes,Subsidy,Success,Desktop,4G
T0155,2025-01-12,Gujarat,Patna,U1154,Male,45+,Axis,JanDhan,P2P,UPI,Paytm,9316,Shopping,No,NULL,Success,Desktop,Broadband
T0156,2025-01-12,Bihar,Chennai,U1155,Male,25-34,HDFC,Current,BillPay,UPI,PhonePe,7894,Shopping,Yes,Subsidy,Failed,Mobile,4G
T0157,2025-03-31,West Bengal,Kolkata,U1156,Female,18-24,PNB,Current,P2P,UPI,Paytm,121,Electronics,Yes,NULL,Failed,Desktop,5G
T0158,2025-03-03,Bihar,Mumbai,U1157,Female,45+,ICICI,Savings,BillPay,UPI,Paytm,5582,Bills,Yes,PMJDY,Failed,Mobile,Broadband
T0159,2025-03-28,Maharashtra,Chennai,U1158,Female,25-34,Axis,Current,BillPay,UPI,Paytm,5190,Bills,Yes,Subsidy,Failed,Mobile,4G
T0160,2025-01-10,West Bengal,Mumbai,U1159,Male,18-24,SBI,Savings,P2M,UPI,GPay,1136,Food,Yes,PMJDY,Success,Mobile,5G
T0161,2025-03-27,Rajasthan,Delhi,U1160,Female,25-34,Axis,JanDhan,BillPay,UPI,GPay,1833,Transfer,Yes,Subsidy,Success,Mobile,Broadband
T0162,2025-01-17,Gujarat,Ahmedabad,U1161,Female,25-34,SBI,JanDhan,BillPay,UPI,PhonePe,6832,Bills,Yes,Subsidy,Failed,Desktop,5G
T0163,2025-01-14,Bihar,Patna,U1162,Male,25-34,PNB,JanDhan,P2M,UPI,GPay,4915,Electronics,No,NULL,Failed,Mobile,3G
T0164,2025-02-01,Bihar,Jaipur,U1163,Male,35-44,ICICI,Savings,P2M,UPI,Paytm,6493,Food,Yes,Subsidy,Failed,Mobile,5G
T0165,2025-01-20,Bihar,Mumbai,U1164,Female,35-44,PNB,Savings,P2P,UPI,BHIM,5281,Food,No,Subsidy,Failed,Desktop,4G
